Item_name,category,default_supplier,supplier_alternative,order_quantity ,measure_unit,default_quantity ,brand_tag
Dishsoap,🧼Cleaning for kitchen,pisey,,1,big,,
Sponges,🧼Cleaning for kitchen,pisey,,1,pk,10,
Clothes,🧼Cleaning for kitchen,hong kong shop,,3,pk,,
Pasta box,📦Box,pisey,,2,pk,,
Pizza box,📦Box,pp distributor,,1,pk,,
Bread box,📦Box,Takaway shop,,2,pk,,
Soup box,📦Box,pisey,,2,pk,,
Cake box,📦Box,Takaway shop,,4,pk,,
Sauce box,📦Box,pisey,,2,pk,,
Sushi box,📦Box,pp distributor,,4,pk,,
Burger box,📦Box,pisey,,1,big,,
Plastic fork,🛍️Ustensil,Takaway shop,,10,pk,,
Chopstick,🛍️Ustensil,pisey,,5,pk,,
Plastic 12x20,🛍️Plastic bag,pisey,,2,pk,,
Plastic 8x16,🛍️Plastic bag,pisey,,2,pk,,
Wrapping film,🎁kitchen roll,pizza+,,1,roll,,
Baking paper,🎁kitchen roll,pizza+,,1,roll,,
Aluminium,🎁kitchen roll,pizza+,,1,roll,,
Mozzarella,🧀Cheese,lees,,1,block,,
Cheddar slice,🧀Cheese,baker supplies,,1,pk,,
Cream cheese,🧀Cheese,baker supplies,,1,kg,,
Cottage cheese,🧀Cheese,granny,,10,pc,,
Parmesan,🧀Cheese,lees,,1,kg,,
Cooking cream,🥣Cream,lees,,1,L,,
Sour cream,🥣Cream,lees,,1,L,,
Eggs,🥚Eggs,pisey,,1,x30,,
Butter,🧈Butter,lees,,2,kg,,
French fries,🍟French fries,lees,,1,box,,
Ham,🐷Pork,samu,,2,500g,,
Bacon,🐷Pork,samu,,1,kg,,
Pepperoni,🐷Pork,samu,,2,500g,,
Pork sausage bbq,🐷Pork,rodina,,1,pk,,
Pork shoulder bbq,🐷Pork,market,,1,kg,,
Beef (burger),🐮 Beef,lees,,6,kg,,
Beef (steak),🐮 Beef,lees,,10,pc,,
Chicken breast,🐔 Chicken,market,,6,kg,,
Chicken wing,🐔 Chicken,market,,2,kg,,
Chicken sausage bbq,🐔 Chicken,market,,1,pk,,
Smoked chicken sausage,🐔 Chicken,rodina,,1,pc,,
Smoked duck breast,🐔 Chicken,lees,,10,pc,,
White fish,🐟Fish,market,,3,kg,,
Bar fish,🐟Fish,market,,3/2,pc/kg,,
Red fish,🐟Fish,market,,3/2,pc/kg,,
Salmon fish,🐟Fish,chanorai,,1,fish,,
Squid,🦞Seafood,market,,1,kg,,
Shrimp,🦞Seafood,market,,1,kg,,
Fish roe,🦞Seafood,pizza+,,1,pk,,
Crab stick,🦞Seafood,foody,,3,pk,,
Onion pickles,🥒Picked,samu,,1,jar,,
Capers,🥒Picked,foody,,1,jar,,
Black & green olives,🥒Picked,foody,,1,jar,,
Gherkins,🥒Picked,pisey,,1,jar,,
Pink ginger,🥒Picked,chanorai,,1,pk,,
Wasabi,🥒Picked,pizza+,,1,box,,
Rice,🍚Rice,pisey,,1,big,,
Japanese rice,🍚Rice,pizza+,,1,bag,,
Buckwheat,🍚Rice,pp distributor,,5,kg,,
Yellow noodles,🍜Noodle,pisey,,2,pk,,
Spaghetti,🍝Noodle,pisey,,2,pk,,
🥟 dumpling dough,🍞Baking,chinese mart,,2,pk,,
🍕 pizza dough/flour,🍞Baking,pisey,,1,big,,
🍤 tempura flour,🍞Baking,pisey,,1,pk,,
🍞 yeast,🍞Baking,pisey,,1,pk,,
🍤 breadcrumbs,🍞Baking,pisey,,1,big,,
🍔 bun's (burger bread),🍞Baking,baker,,1,pk,,
🫓 lavash,🍞Baking,baker,,1,pk,,
Green peas,🥫Can,pisey,,2,can,,
Mushroom can,🥫Can,pisey,,3,can,,
Peeled tomato,🥫Can,pisey,,1,big,,
Tomato paste,🥫Can,pisey,,1,big,,
Black & white sesame,🌿Herbs & spices,foody,,1,1 each,,
Rosemary,🌿Herbs & spices,foody,,1,pc,,
Bay leaf,🌿Herbs & spices,foody,,2,pc,,
Seaweed,🌿Herbs & spices,chanorai,,5,pk,,
Salt,🧂Seasoning,pisey,,1,pk,,
Sugar,🧂Seasoning,pisey,,1,pk,,
Knorr cubes,🧂Seasoning,pisey,,1,box,,
Knorr powder,🧂Seasoning,pisey,,1,pk,,
Black pepper,🧂Seasoning,pisey,,1,pk,,
Cooking oil,🧂Seasoning,pisey,,1,big,,
Olive oil,🧂Seasoning,sara,,1,bt,,
Oyster sauce,🫙Sauce,pisey,,1,bt,,
Sweet chili sauce,🫙Sauce,pisey,,1,bt,,
Ketchup big,🫙Sauce,pisey,,1,big ,,
White vinegar (chinese),🫙Sauce,pisey,,1,bt,,
Vinegar (thai),🫙Sauce,pisey,,1,bt,,
Fish sauce,🫙Sauce,pisey,,1,bt,,
Khmer soy sauce,🫙Sauce,pisey,,1,bt,,
Teryaki sauce,🫙Sauce,chanorai,,2,bt,,
Kikkoman big,🫙Sauce,chanorai,,1,big,,
Mayonnaise,🫙Sauce,sara,,6,jar,,
Potato,🥦Veg,pisey,,5,kg,,
Tomato,🥦Veg,pisey,,2,kg,,
Iceberg,🥦Veg,pisey,,2,pc,,
Cucumber long,🥦Veg,pisey,,4,pc,,
Onion,🥦Veg,pisey,,2,kg,,
Yellow bellpepper,🥦Veg,pisey,,2,pc,,
Red bellpepper,🥦Veg,pisey,,2,pc,,
Carrot,🥦Veg,pisey,,2,kg,,
Cabbage,🥦Veg,pisey,,2,kg,,
Broccoli,🥦Veg,pisey,,1,pc,,
Avocado,🥦Veg,pisey,,3,pc,,
Mushroom,🥦Veg,pisey,,1,kg,,
Aubergine,🥦Veg,pisey,,1,kg,,
Zuchini,🥦Veg,pisey,,1,kg,,
Garlic white,🥦Veg,pisey,,0.5,kg,,
Red onion,🥦Veg,pisey,,1,kg,,
Shallots,🥦Veg,pisey,,1,kg,,
Basil,🌿Herbs (fresh),pisey,,0.03,kg,,
Coriander,🌿Herbs (fresh),pisey,,0.03,kg,,
Parsley,🌿Herbs (fresh),pisey,,0.03,kg,,
Coca,🥤Sodas,coca company,,1,Box,,
Coca zero,🥤Sodas,coca company,,1,box,,
Soda,🥤Sodas,coca company,,1,box,,
Sprite,🥤Sodas,coca company,,1,box,,
Fanta,🥤Sodas,coca company,,1,box,,
Tonic,🥤Sodas,coca company,,1,box,,
Aquarius,🥤Sodas,coca company,,1,box,,
Ginger ale,🥤Sodas,coca company,,1,box,,
Pepsi,🥤Sodas,drink shop,,1,box,,
